time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.35255391349e-08,6.44968999767e-07,10.0014328499,0.000553548120896,6.28279039904,0.0,1.32845196627e-05,5.18179669773e-05,0.0477603721374,0.0231945036608,-0.0249211964256,0.0,420.4811512967963,418.3170942972893,419.5914337537311,421.5998128376519
0.12000000000000001,1.38342282834e-05,1.96731037038e-05,10.0059402256,0.00221303456594,6.28106059372,0.0,0.000600612038626,0.000729021687069,0.10248133086,0.0353523004646,-0.0380919262746,0.0,422.4524618471329,421.31514571536246,422.1823064252483,423.23004637671005
0.18,0.000113241250755,0.000128599654997,10.0194408042,0.00434977108027,6.27905147052,0.0,0.00297640925935,0.00316465939515,0.347493550144,0.0361271088745,-0.0255788292434,0.0,480.0675862829309,481.015569463089,480.91674487335837,480.9758716364211
0.23999999999999996,0.000378148371732,0.000411245530338,10.0421749256,0.00626607253368,6.27754091391,0.0,0.00600065873542,0.00645544886054,0.410287859482,0.0218684087385,-0.0243822125392,0.0,424.28132652124776,424.3838929482432,426.4279766775984,425.2088213034829
0.3,0.000869368512133,0.000942788488615,10.0712990717,0.00724733395269,6.27598028071,0.0,0.0105381838222,0.0113913021749,0.560452885969,0.00205558363052,-0.0294836332573,0.0,453.27986360928577,452.86965469266573,453.21457597367225,451.6195070230018
0.36000000000000004,0.00165241774868,0.00177180880101,10.1072940086,0.00729526584616,6.27431819687,0.0,0.0157325574046,0.0162509761777,0.639335616809,-0.0018413368509,-0.0243565243622,0.0,429.9160004797645,430.34990928766445,431.03365056560494,430.704227807819
0.4200000000000001,0.0027919145881,0.00290265719116,10.149388352,0.00735554569761,6.27276168323,0.0,0.0224091205698,0.021441299329,0.763732238997,0.0061631560345,-0.0293172455189,0.0,446.05601512928234,445.65064235047606,443.8765860279064,444.5328801727034
0.48000000000000015,0.00435882996134,0.00434270156547,10.1982504972,0.00742954260269,6.27112087329,0.0,0.0299940245562,0.0265848218495,0.864932154161,-0.0111150131693,-0.0236721422267,0.0,438.0925405755695,438.56140989286456,438.21593102696465,436.7775075988479
0.5400000000000001,0.00638852426375,0.00607426378165,10.2511784116,0.00665070603497,6.27004580414,0.0,0.0377754176128,0.0310672242723,0.89930396205,-0.0170003317365,-0.00836303547143,0.0,415.96919414118673,417.3075126843904,416.32861438850017,415.8135257226561
0.6000000000000002,0.00901256406753,0.00811281901949,10.3144879589,0.00523828554308,6.26931683043,0.0,0.0497690616711,0.036727437081,1.21073731825,-0.0417038450647,-0.0210675594909,0.0,501.26173410809855,500.337890759255,500.83814029418454,499.03833751270156
0.6600000000000003,0.0122923794988,0.0104157825312,10.3902991878,0.00258173905378,6.26767878204,0.0,0.0597009660811,0.0397727874985,1.31618681617,-0.0499901391055,-0.0442390832324,0.0,441.66501427912016,439.7496810310429,439.87904186122194,439.1912235905121
0.7200000000000003,0.0163041849375,0.0128567941845,10.4784887385,6.28229350777,6.26517503591,0.0,0.0743610912005,0.0411758986985,1.62307591805,-0.0824880132261,-0.037131422272,0.0,499.57304251306863,500.0902463444758,501.24674684209134,498.8774453951155
0.7800000000000004,0.0210672463736,0.0152977171907,10.5745826807,6.27741568983,6.26306768731,0.0,0.0845836149645,0.039790828731,1.58011178454,-0.0790167652521,-0.0313810231105,0.0,391.134594014599,391.6690088569087,391.8175748496779,392.1338185805715
0.8400000000000004,0.026570451163,0.0175458475538,10.6726643718,6.27237194128,6.26136731172,0.0,0.0990376676933,0.0346450378704,1.68911523195,-0.096773547595,-0.0228623818211,0.0,442.534628243375,443.23498440631437,442.36351877844777,440.8930079568319
0.9000000000000005,0.0330608447843,0.0193298105959,10.7811878876,6.26700104341,6.25963162318,0.0,0.117485579418,0.0241436502344,1.92795066219,-0.0779571626894,-0.045224179084,0.0,482.32148412420133,480.62954572581344,481.226972281844,482.6428917674045
0.9600000000000005,0.0407681966755,0.0203114984614,10.9065894477,6.26189468804,6.25725252732,0.0,0.139753374575,0.00793748725792,2.25150145845,-0.105895373488,-0.0303521296443,0.0,507.1096548045618,508.17611704125284,506.0916949392325,504.07155460057294
1.0200000000000005,0.0497051908119,0.020315509564,11.0450319731,6.25515664267,6.25557283682,0.0,0.158321283176,-0.00847238260933,2.36300372863,-0.129897676013,-0.0236547611587,0.0,444.8340464413381,445.3819133416296,446.9806312720199,445.00875480438407
1.0800000000000005,0.0597761935729,0.01920271083,11.1896602055,6.24755946351,6.2539146837,0.0,0.177526982135,-0.0293929800538,2.45770864349,-0.120764984749,-0.0371040776995,0.0,441.14480483066023,440.0326492567226,440.65439834128597,441.3938822399937
1.1400000000000006,0.0710079778823,0.0167158690627,11.3390149051,6.24007294497,6.25193030323,0.0,0.197063471178,-0.0542056259987,2.52060881826,-0.134317202714,-0.02603367755,0.0,431.16973836822183,432.10348564587196,431.22072377101387,430.0595552464573
1.2000000000000006,0.0834872581503,0.0125362850227,11.4933646748,6.23195752669,6.24997254771,0.0,0.219079621557,-0.0859317946753,2.62410405593,-0.137203802594,-0.0510191393859,0.0,445.23178468700854,443.1823747231286,444.83680820171753,444.5834819274102
1.2600000000000007,0.0974304590493,0.00613335528358,11.6567688936,6.22369989464,6.24653485628,0.0,0.2460507869,-0.128433590632,2.82216429196,-0.138486746985,-0.0743920922787,0.0,474.13412914980813,472.3328264831691,474.4555916265478,474.3408476688802
